Name,Location,Description,Accelerator,Batch,Status,Webpage
Terrace,"LosAngeles,CA,USA",Institutional-Grade Trading Solutions for DeFi  ,Y Combinator,S22,,
DevTools,"SanFrancisco,CA,USA",We help engineers not fix broken & flaky UI tests.  ,Y Combinator,S22,,
AccessOwl,"Berlin,Germany",Access Management for SaaS applications  ,Y Combinator,S22,,
Cone,"Hyderabad,Telangana,India",Modern finance and accounting platform for business  ,Y Combinator,S22,,
Kamion,"stanbul,Turkey",Uber for Trucks for the Turkish Market  ,Y Combinator,S22,,
Lancey,"Toronto,ON,Canada",Helping companies build great demos.  ,Y Combinator,S22,,
Relevium,"Galway,Ireland",Develops peptide gel based biotherapeutics for painful disorders  ,Y Combinator,S22,,
KraveMart,"KarachiCity,Sindh,Pakistan","Your daily needs, from essentials to everything.  ",Y Combinator,S22,,
DrahimðŸ’°,RiyadhSaudiArabia,Meaningful spending insights with auto-investing  ,Y Combinator,S22,,
Polymer,"SanFrancisco,CA,USA","Optimal prices, revealed by real customers.  ",Y Combinator,S22,,
UpLink,"PalmBeachGardens,FL,USA",Manage Document Requests at Scale  ,Y Combinator,S22,,
Drip,"SÃ£oPaulo,StateofSÃ£oPaulo,Brazil",We help Brazilians shop in a smarter way  ,Y Combinator,S22,,
HOMLI,"NewYork,NY,USA","Sell, rent, and buy real estate in Europe  ",Y Combinator,S22,,
Patika,"Nairobi,Kenya",Simple Receivable Automation & Payments for Africaâ€™s Small Businesses  ,Y Combinator,S22,,
Relate,"SanFrancisco,CA,USA",Simple sales CRM for startups and SMBs.  ,Y Combinator,S22,,
Relay,"SaltLakeCity,UT,USA",Peer support groups to overcome addiction  ,Y Combinator,S22,,
LaminLabs,"Munich,Germany",Data & analysis management for computational biology  ,Y Combinator,S22,,
Rampay,Globalpaymentgatewaytobuyandsellcryptowithfiat.,S22 ,Y Combinator,Fintech,,
Ruffo,"SanFrancisco,CA,USA",Cross-border real estate transactions made easy.  ,Y Combinator,S22,,
UltimateTournament,"Wilmington,DE,USA",Skill-based online arcade where you play and compete for real money  ,Y Combinator,S22,,
Metriport,"SanFrancisco,CA,USA","Track anything and gain insights into your health, fitness, and more.  ",Y Combinator,S22,,
Cambio,"Chicago,IL,USA",Credit rebuilding made simple and affordable  ,Y Combinator,S22,,
Rampp.xyz,"LosAngeles,CA,USA",Launch and scale an NFT community without code  ,Y Combinator,S22,,
Peoplebox,"SanFrancisco,CA,USA",Next-gen OKR & Performance Management tool for hyper-growth Startups  ,Y Combinator,S22,,
ZoltarLabs,"MountainView,CA,USA",Smart contract testing and deployment made faster  ,Y Combinator,S22,,
Shipmates,"Makati,MetroManila,Philippines",Courier aggregator for ecommerce channels  ,Y Combinator,S22,,
Sytex,"CÃ³rdoba,Cordoba,Argentina",Team collaboration platform for efficient telecom network deployments  ,Y Combinator,S22,,
Provision,"Toronto,ON,Canada",Document intelligence platform for the construction industry.  ,Y Combinator,S22,,
Pulppo,"MexicoCity,CDMX,Mexico",We are empowering brokers to improve how they sell homes.  ,Y Combinator,S22,,
Typewise,"ZÃ¼rich,Switzerland",Boosting customer service and sales productivity by 2-3x.  ,Y Combinator,S22,,
Ajourney,Singapore,Productivity and people management tool for managers  ,Y Combinator,S22,,
PayloadCMS,"GrandRapids,MI,USA",Developer-First Headless CMS and Application Framework  ,Y Combinator,S22,,
HelloCognition,"NewYork,NY,USA",Next-generation search engine for software developers.  ,Y Combinator,S22,,
MaverickBioworks,"SanFrancisco,CA,USA",Developing custom enzymes for industrial & manufacturing partners  ,Y Combinator,S22,,
ApplyDesign,"TelAviv-Yafo,Israel",Automatically create amazing property listings  ,Y Combinator,S22,,
Windmill,"Paris,France",Developer platform to build internal apps from minimal scripts  ,Y Combinator,S22,,
Disclo,"Austin,TX,USA",Health disclosure and accommodation management platform  ,Y Combinator,S22,,
Tranch,"London,UK",Buy Now Pay Later for B2B businesses.  ,Y Combinator,S22,,
Sunlight,"TelAviv-Yafo,Israel",Plaid for the Creator Economy  ,Y Combinator,S22,,
Novig,"NewYork,NY,USA","The first commission-free, high-frequency sports betting exchange  ",Y Combinator,S22,,
NFTAccess,"NewYork,NY,USA",NFT Event Ticketing  ,Y Combinator,S22,,
